Sample,Date,Replicate,Site,Trap,Carabidae,Staphylinidae,Scarabaeidae,Cicadellidae,Membracidae,Aphididae,Ceropidae,Derbidae,Elateridae,Orthoptera
C19,7/27/2020,A,Rec,sticky,0,0,0,3,0,6,0,0,0,0
C20,7/27/2020,B,Rec,sticky,0,0,0,1,0,5,0,0,0,0
C21,8/11/2020,A,Dix,sticky,0,0,0,0,0,2,0,0,5,0
C22,8/11/2020,B,Dix,sticky,0,1,0,3,0,1,0,0,3,0
C23,8/11/2020,A,Rec,sticky,0,0,0,0,0,2,0,0,0,0
C24,8/11/2020,B,Rec,sticky,0,0,0,1,0,7,0,0,0,0
C25,8/11/2020,A,Allerton,sticky,0,0,0,8,0,9,0,0,1,0
C26,8/11/2020,B,Allerton,sticky,0,1,0,6,0,6,0,0,0,0
C27,8/26/2020,A,Dix,sticky,0,0,0,1,0,7,0,0,3,0
C28,8/26/2020,B,Dix,sticky,0,0,0,1,0,5,0,0,0,0
C29,8/26/2020,A,Allerton,sticky,0,0,0,3,0,24,0,0,0,0
C30,8/26/2020,B,Allerton,sticky,0,0,0,2,0,14,0,0,0,0
C31,8/26/2020,A,Rec,sticky,0,0,0,1,0,2,0,0,0,0
C32,8/26/2020,B,Rec,sticky,0,0,0,0,0,6,0,0,0,0
C33,9/7/2020,A,Dix,sticky,0,1,0,0,0,2,0,0,0,0
C34,9/7/2020,B,Dix,sticky,0,0,0,0,0,2,0,0,0,0
C35,9/7/2020,A,Allerton,sticky,0,2,0,0,0,38,0,0,0,0
C36,9/7/2020,B,Allerton,sticky,0,0,0,0,0,23,0,0,0,0
C37,9/7/2020,A,Rec,sticky,0,0,0,0,0,12,0,0,0,0
C38,9/7/2020,B,Rec,sticky,0,0,0,0,0,14,0,0,0,0
C39,9/23/2020,A,Dix,sticky,0,0,0,0,0,0,0,0,0,0
C40,9/23/2020,B,Dix,sticky,0,0,0,0,0,0,0,0,0,0
C41,9/23/2020,A,Allerton,sticky,0,0,0,0,0,0,0,0,0,0
C42,9/23/2020,B,Allerton,sticky,0,0,0,0,0,2,0,0,0,0
C43,9/23/2020,A,Rec,sticky,0,0,0,1,0,1,0,0,0,0
C44,9/23/2020,B,Rec,sticky,0,0,0,0,0,4,0,0,0,0
P1,7/1/2020,A,Dix,pitfall,0,0,0,0,0,0,0,0,0,0
P2,7/1/2020,B,Dix,pitfall,0,0,0,1,0,1,0,0,0,0
P5,7/1/2020,A,Allerton,pitfall,0,0,0,1,0,0,0,0,0,0
P6,7/1/2020,B,Allerton,pitfall,0,0,0,1,0,0,0,0,1,0
P7,7/15/2020,A,Dix,pitfall,0,0,0,4,0,0,0,0,0,0
P8,7/15/2020,B,Dix,pitfall,0,0,0,2,0,0,0,0,0,0
P9,7/15/2020,A,Allerton,pitfall,0,0,0,5,0,0,0,0,2,0
P10,7/15/2020,B,Allerton,pitfall,0,0,0,2,0,1,0,0,0,0
P11,7/15/2020,A,Rec,pitfall,0,0,0,4,0,0,0,0,0,0
P12,7/15/2020,B,Rec,pitfall,0,0,0,1,0,0,0,0,0,0
P13,7/27/2020,A,Dix,pitfall,0,0,0,5,0,0,0,0,0,0
P14,7/27/2020,B,Dix,pitfall,0,0,0,10,0,0,0,0,0,0
P15,7/27/2020,A,Allerton,pitfall,0,1,0,5,0,4,0,0,0,0
P16,7/27/2020,B,Allerton,pitfall,0,0,0,3,0,0,0,0,0,0
P17,7/27/2020,A,Rec,pitfall,1,0,0,1,0,1,0,0,0,0
P18,7/27/2020,B,Rec,pitfall,0,0,0,0,0,0,0,0,0,0
P19,8/11/2020,A,Dix,pitfall,0,0,0,0,0,0,0,0,0,0
P20,8/11/2020,B,Dix,pitfall,0,0,0,1,0,0,0,0,0,0
P21,8/11/2020,A,Allerton,pitfall,0,0,0,1,0,1,0,0,0,0
P22,8/11/2020,B,Allerton,pitfall,0,0,0,1,0,1,0,0,0,0
P23,8/11/2020,A,Rec,pitfall,0,0,0,1,0,0,0,0,0,0
P24,8/26/2020,A,Dix,pitfall,0,0,0,2,0,2,0,0,0,0
P25,8/26/2020,B,Dix,pitfall,0,0,0,1,0,1,0,0,0,0
P26,8/26/2020,A,Allerton,pitfall,0,0,0,9,0,0,0,0,0,0
P27,8/26/2020,B,Allerton,pitfall,0,0,0,4,0,0,0,0,0,0
P28,8/26/2020,A,Rec,pitfall,0,0,0,0,0,0,0,0,0,0
P29,8/26/2020,B,Rec,pitfall,0,0,0,1,0,0,0,0,0,0
P30,9/7/2020,A,Dix,pitfall,0,0,0,0,0,0,0,0,0,0
P31,9/7/2020,B,Dix,pitfall,0,0,0,1,0,0,0,0,0,0
P32,9/7/2020,A,Allerton,pitfall,0,0,0,0,0,0,0,0,0,0
P33,9/7/2020,B,Allerton,pitfall,0,1,0,4,0,0,0,0,0,0
P34,9/7/2020,A,Rec,pitfall,0,0,0,0,0,0,0,0,0,0
P35,9/7/2020,B,Rec,pitfall,1,0,0,1,0,0,0,0,0,0
P36,9/23/2020,A,Dix,pitfall,0,0,0,1,0,0,0,0,0,0
P37,9/23/2020,B,Dix,pitfall,0,0,0,1,0,0,0,0,0,0
P38,9/23/2020,A,Allerton,pitfall,0,0,0,0,0,0,0,0,0,0
P39,9/23/2020,B,Allerton,pitfall,0,0,0,1,0,0,0,0,0,0
P40,9/23/2020,A,Rec,pitfall,0,0,0,0,0,0,0,0,0,0
P41,9/23/2020,B,Rec,pitfall,1,0,0,0,0,0,0,0,0,0
J1,7/1/2020,A,Dix,jar,0,1,0,0,0,0,0,0,0,0
J2,7/1/2020,B,Dix,jar,0,0,0,0,0,0,0,0,0,0
J5,7/1/2020,A,Allerton,jar,0,0,0,0,0,1,0,0,0,0
J6,7/1/2020,B,Allerton,jar,0,0,0,0,0,0,0,0,0,0
J7,7/1/2020,A,Rec,jar,0,0,0,0,0,0,0,0,0,0
J8,7/1/2020,B,Rec,jar,0,0,0,0,0,0,0,0,0,1
J9,7/15/2020,A,Dix,jar,0,0,0,5,0,0,0,2,0,0
J10,7/15/2020,B,Dix,jar,0,0,0,4,0,0,0,0,0,0
J11,7/15/2020,A,Allerton,jar,0,0,0,7,0,0,0,0,0,0
J12,7/15/2020,B,Allerton,jar,1,0,0,8,0,0,0,0,0,0
J13,7/15/2020,A,Rec,jar,0,0,0,1,0,0,0,0,0,0
J14,7/15/2020,B,Rec,jar,1,0,0,5,0,0,0,0,0,0
J15,7/27/2020,A,Dix,jar,0,0,0,27,0,0,0,0,0,0
J16,7/27/2020,B,Dix,jar,0,0,0,12,0,0,0,0,0,0
J17,7/27/2020,A,Allerton,jar,0,0,0,15,0,1,1,0,0,0
J18,7/27/2020,B,Allerton,jar,0,0,0,10,0,3,0,0,0,0
J19,7/27/2020,A,Rec,jar,0,0,0,4,0,0,0,0,0,1
J20,7/27/2020,B,Rec,jar,0,0,0,2,0,0,0,0,0,0
J21,8/11/2020,A,Dix,jar,0,0,0,4,0,0,0,0,0,0
J22,8/11/2020,B,Dix,jar,0,0,0,1,0,3,0,0,0,0
J23,8/11/2020,A,Allerton,jar,0,0,0,7,0,4,0,0,0,0
J24,8/11/2020,B,Allerton,jar,0,0,0,1,0,1,0,0,0,0
J25,8/11/2020,A,Rec,jar,0,0,0,1,0,1,0,0,0,0
J26,8/11/2020,B,Rec,jar,0,0,0,1,0,0,0,0,0,0
J27,8/26/2020,A,Dix,jar,0,0,0,2,0,19,0,0,0,0
J28,8/26/2020,B,Dix,jar,0,0,0,9,0,2,0,0,0,0
J29,8/26/2020,A,Allerton,jar,0,1,0,5,0,1,0,0,0,0
J30,8/26/2020,B,Allerton,jar,0,0,0,5,0,3,0,0,0,0
J31,8/26/2020,A,Rec,jar,0,0,0,1,0,0,0,0,0,0
J32,8/26/2020,B,Rec,jar,0,0,0,7,0,0,0,0,0,0
J33,9/7/2020,A,Dix,jar,0,0,0,3,0,0,0,0,0,0
J34,9/7/2020,B,Dix,jar,0,0,0,3,0,1,0,0,0,0
J35,9/7/2020,A,Allerton,jar,0,0,0,8,0,0,0,0,0,0
J36,9/7/2020,B,Allerton,jar,0,1,0,4,0,0,0,0,0,0
J37,9/7/2020,A,Rec,jar,0,0,0,0,0,0,0,0,0,0
J38,9/7/2020,B,Rec,jar,0,0,0,0,0,0,0,0,0,0
J39,9/23/2020,A,Dix,jar,0,0,0,4,0,0,0,0,0,0
J40,9/23/2020,B,Dix,jar,0,0,0,2,0,0,0,0,0,0
J41,9/23/2020,A,Allerton,jar,0,1,0,2,0,0,0,0,0,0
J42,9/23/2020,B,Allerton,jar,0,0,0,3,0,1,0,0,0,0
J43,9/23/2020,A,Rec,jar,0,0,0,0,0,0,0,0,0,0
J44,9/23/2020,B,Rec,jar,0,0,0,0,0,0,0,0,0,1
